Npart	Niter	posx	posy	Ix	Iy	Itheta	Ox	Oy	Otheta	f	t										
10	100	2	2	9	-4	1	9,004491579	-3,990724775	0,959737437	0,258942106	9,8374452										
10	100	2	2	9	-4	1	9,003661129	-3,980408955	1,004903398	0,258954201	9,4432755										
10	100	2	2	9	-4	1	9,003856489	-3,990746031	0,963132957	0,258946137	9,2812142										
10	100	2	2	9	-4	1	9,002229934	-3,992395482	0,966346653	0,258946137	10,2968561										
10	100	2	2	9	-4	1	9,001758558	-3,999011441	0,972465097	0,258946137	11,8831234										
10	100	2	2	9	-4	1	9,004659309	-3,99049341	0,959986882	0,258942106	9,6295866										
10	100	2	2	-13	-21	-7	-12,99750206	-20,99983264	-7,003420083	0,285661888	9,9733829										
10	100	2	2	-13	-21	-7	-12,99170687	-21,00432547	-7,017700682	0,285695538	10,0007203										
10	100	2	2	-13	-21	-7	-12,99976333	-14,33202946	-7,004621219	0,374439733	9,9094605										
10	100	2	2	-13	-21	-7	-12,9948727	-20,99865657	-6,981533931	0,286075779	9,8619622										
10	100	2	2	-13	-21	-7	-12,99745949	-20,99990009	-7,003234329	0,285661888	10,1308102										
10	100	2	2	-13	-21	-7	-12,99222607	-21,0035075	-7,017750274	0,285695538	10,4322623										
10	100	2	2	-21	18	-18	-20,9978412	18,00274984	-17,99588722	0,309317943	8,8513113										
10	100	2	2	-21	18	-18	-20,99753965	18,02601343	-18,01899201	0,309438623	9,0149617										
10	100	2	2	-21	18	-18	-20,99928336	18,01629865	-17,99839933	0,309023341	8,9022311										
10	100	2	2	-21	18	-18	-13,64422433	18,03399014	-18,07233102	0,445885509	9,1360436										
10	100	2	2	-21	18	-18	-20,99769012	18,02266853	-18,01211902	0,309438623	9,0165812										
10	100	2	2	-21	18	-18	-20,99978316	12,3113083	-17,99584205	0,359612195	9,0959101										
10	100	2	2	-11	-29	-10	-10,99531772	-16,58924954	-10,05781815	0,403688183	10,3596245										
10	100	2	2	-11	-29	-10	-10,81105367	-30	-10,52169897	0,343789838	10,0163884										
10	100	2	2	-11	-29	-10	-10,99377064	-15,04850585	-10,09391716	0,403979181	10,1145679										
10	100	2	2	-11	-29	-10	-10,99152337	-28,99703102	-10,03991713	0,319648142	10,2957078										
10	100	2	2	-11	-29	-10	-10,8118886	-30	-10,51772936	0,343789838	11,0316313										
