Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,2,2,-27,-20,-21,-13.146319971506943,-19.938752858953123,-20.647333834701623,0.42707807589294583,16.49677579998388
10,100,2,2,-27,-20,-21,-26.993771315933568,-19.994313688563906,-21.022429940423194,0.31280167594089825,15.334425100008957
10,100,2,2,-27,-20,-21,-26.995294870147124,-20.002974161719145,-21.007110492945774,0.3123425391188548,18.87406919998466
10,100,2,2,-27,-20,-21,-26.996515113085437,-11.973812393623758,-21.009503329060582,0.3778548886179933,25.619986000005156
10,100,2,2,-27,-20,-21,-13.399980538576198,-19.999004310418336,-20.66922521697653,0.4278537112646247,15.138015000004089
10,100,2,2,-27,-20,-21,-26.997065073776735,-11.98151592715474,-21.0205119850419,0.3778313431399398,13.87566789999255
10,100,2,2,20,28,21,20.08483207084024,12.376171442063516,20.951935355945544,0.36957898010820855,12.08913219999522
10,100,2,2,20,28,21,20.087023539275837,5.307256927409559,20.828168335462593,0.3755518895804859,9.671705599990673
10,100,2,2,20,28,21,20.378312843348183,-1.2946819873996422,21.510996083955074,0.3879770168095716,13.06442199999583
10,100,2,2,20,28,21,20.090217809525438,10.300759410428626,20.778691512343478,0.3714866457555608,9.610382500017295
10,100,2,2,20,28,21,19.721745368273915,30.0,20.410451286653366,0.36384100792821045,11.803544800000964
10,100,2,2,20,28,21,19.72284205724453,28.100111914717058,20.514611305240198,0.32494211423986297,13.383928599971114
10,100,2,2,27,-23,22,27.002173317494762,-11.837018913467093,21.987377062443432,0.38227385978624207,26.14762370000244
10,100,2,2,27,-23,22,27.002022201220925,-12.889975935135492,21.966553011135552,0.38213437735531647,13.939262900006725
10,100,2,2,27,-23,22,27.000179914971547,-12.840763906241651,21.99991584366558,0.38214624820050164,12.815643999987515
10,100,2,2,27,-23,22,27.003217341139035,-22.99222545649325,21.96953625175194,0.3150047478332664,13.995727999979863
10,100,2,2,27,-23,22,27.001635485241067,-22.993694515286872,21.96746166644737,0.3150047478332664,16.904040099994745
10,100,2,2,27,-23,22,-23.764631091683945,-22.997419375303366,22.002772792440727,0.43783265909297914,14.316523099987535
10,100,2,2,24,-28,-28,23.80780346112786,-30.0,-27.31214593583953,0.37365935020901087,11.923617499996908
10,100,2,2,24,-28,-28,23.807888990122798,-30.0,-27.316676799293838,0.37365935020901087,11.997800800018013
10,100,2,2,24,-28,-28,-25.959753825342165,-30.0,29.04374805551923,0.47941835518580933,11.389944099995773
10,100,2,2,24,-28,-28,24.001841975251057,-14.006324781165233,-27.86641162193774,0.3911706554347132,11.899035599984927
10,100,2,2,24,-28,-28,24.0016422875621,-15.37344626404853,-27.8820114307644,0.3905402839604738,18.680451000022003
10,100,2,2,24,-28,-28,24.002072803695597,-15.472571260111996,-27.96417306876125,0.3904159853599195,13.981468499987386
10,100,2,2,25,20,-22,25.029199289239195,5.360790226184955,-22.057448336138567,0.3796458692317858,9.725063599995337
10,100,2,2,25,20,-22,25.09229894167196,19.91628250362347,-21.79930450914877,0.336667222905634,9.604525000002468
10,100,2,2,25,20,-22,18.654305302056063,-20.99530884984892,30.0,0.48734603065223375,8.958988600003067
10,100,2,2,25,20,-22,12.40263625771184,20.0223284429405,-22.03726287536722,0.4504057733410688,14.415368099987973
10,100,2,2,25,20,-22,25.099676924426216,20.08988451930722,-22.17769628748746,0.3355188056353805,11.026466500014067
10,100,2,2,25,20,-22,1.4288207933107115,19.9971801115525,-22.0488294844176,0.4538092645238199,8.576660000020638
10,100,2,2,-22,27,26,-21.999897889098406,6.963711460106527,25.978892314548396,0.3618003854269232,10.025972300005378
10,100,2,2,-22,27,26,-21.998930132801615,11.859871285461178,26.002948054080427,0.3608753059803733,10.033071799989557
10,100,2,2,-22,27,26,-21.99464430159368,27.00029151380726,26.006712399402954,0.32234051046982876,10.150636400008807
10,100,2,2,-22,27,26,-21.996128102828635,11.77669773800919,26.006409504454627,0.3610385552944704,9.80077549998532
10,100,2,2,-22,27,26,-21.99865116352736,7.953671481269234,25.97404912614809,0.36207609537962043,10.044002999988152
10,100,2,2,-22,27,26,-21.99773015980055,27.000946246463954,26.005182221294476,0.32234051046982876,12.36228260002099
10,100,2,2,24,-27,20,30.0,-9.634194984418706,-30.0,0.4789846572358012,11.802453899988905
10,100,2,2,24,-27,20,24.000521754450148,-26.99693829260957,20.001122600784363,0.31465302883161494,11.661746600002516
10,100,2,2,24,-27,20,5.576286101093196,-26.99625786699208,19.984403601745832,0.4151336499272789,11.70588290001615
10,100,2,2,24,-27,20,24.003607290565828,-26.997917444537983,19.97903442336253,0.3145583251359546,12.582233799999813
10,100,2,2,24,-27,20,24.00298200037251,-16.424549067696212,19.982367498301933,0.38914044495899375,11.672531899996102
10,100,2,2,24,-27,20,24.000560862197695,-14.037758934145842,19.996304887816287,0.38916116139241946,11.978813699999591
10,100,2,2,-27,28,23,-26.99981534948307,6.646345681232636,23.028618549357734,0.3752079596315379,9.602108199993381
10,100,2,2,-27,28,23,-1.5894718155317584,28.00298570726854,23.103234281028566,0.4627959945318318,9.86628029998974
10,100,2,2,-27,28,23,-2.1349096501652443,28.112479591311523,23.223156879517628,0.4624555558554268,10.024844100000337
10,100,2,2,-27,28,23,-26.9988132633408,5.574644064396235,22.996774524478134,0.3752047846655155,9.341347000008682
10,100,2,2,-27,28,23,-26.999938632587796,4.2340307870731415,23.00137465059608,0.37522383446165,9.018671800004086
10,100,2,2,-27,28,23,-26.99834197865627,9.121353640606241,23.042167911411312,0.3754238573210625,10.8298061999958
10,100,2,2,26,-23,20,26.00235455329046,-13.09307003529273,20.00551678641035,0.3836063621582757,12.056209700007457
10,100,2,2,26,-23,20,6.238184233548377,-22.996994715706165,19.941484782646125,0.417507459025854,15.937651000014739
10,100,2,2,26,-23,20,26.002787609470317,-9.737994639455282,19.9905430107657,0.38350249226290556,10.927837199997157
10,100,2,2,26,-23,20,7.231584413049445,-22.981681806743556,19.965453801352997,0.4176813072023937,11.369496500003152
10,100,2,2,26,-23,20,10.252885092800389,-22.987071046142855,19.962994523552613,0.41712815391340374,10.763540999992983
