Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,2,2,9,-4,1,9.004491579288134,-3.990724775125631,0.9597374368692185,0.25894210577367666,9.837445200013462
10,100,2,2,9,-4,1,9.003661129469021,-3.9804089549283654,1.004903397756164,0.25895420059707636,9.443275500001619
10,100,2,2,9,-4,1,9.003856488961926,-3.9907460314996177,0.9631329568258983,0.25894613738147654,9.281214199989336
10,100,2,2,9,-4,1,9.002229933799962,-3.9923954818995497,0.9663466525671809,0.25894613738147654,10.296856100001605
10,100,2,2,9,-4,1,9.001758558161368,-3.9990114407434834,0.9724650974648498,0.25894613738147654,11.883123400009936
10,100,2,2,9,-4,1,9.004659308643737,-3.9904934104501075,0.959986882323581,0.25894210577367666,9.629586600000039
10,100,2,2,-13,-21,-7,-12.997502063691174,-20.99983263626068,-7.003420082847044,0.28566188800253745,9.973382900003344
10,100,2,2,-13,-21,-7,-12.99170686672586,-21.004325466507815,-7.017700681784434,0.2856955376424374,10.0007203000132
10,100,2,2,-13,-21,-7,-12.999763328763901,-14.332029464323266,-7.0046212187006445,0.3744397329505419,9.909460499999113
10,100,2,2,-13,-21,-7,-12.994872702912433,-20.998656568339136,-6.981533931321382,0.2860757785733066,9.861962199996924
10,100,2,2,-13,-21,-7,-12.997459488759336,-20.99990008672624,-7.003234329322721,0.28566188800253745,10.130810200003907
10,100,2,2,-13,-21,-7,-12.99222606721631,-21.00350750115072,-7.017750273846,0.2856955376424374,10.432262299989816
10,100,2,2,-21,18,-18,-20.997841203949424,18.002749841070052,-17.99588722413214,0.30931794256458045,8.851311300008092
10,100,2,2,-21,18,-18,-20.997539653357148,18.0260134342778,-18.018992011465002,0.3094386229176339,9.014961700013373
10,100,2,2,-21,18,-18,-20.999283355226357,18.016298653539362,-17.998399327345542,0.30902334052624414,8.902231099986238
10,100,2,2,-21,18,-18,-13.644224331198057,18.033990136698876,-18.07233102017665,0.4458855091552995,9.136043600010453
10,100,2,2,-21,18,-18,-20.997690124997295,18.02266853296027,-18.012119023565962,0.3094386229176339,9.016581200005021
10,100,2,2,-21,18,-18,-20.999783164200856,12.311308303544903,-17.99584204647595,0.35961219488259394,9.095910100004403
10,100,5,2,-19,12,-23,-18.995025665135657,12.146245018264366,-22.98318201454671,0.32718901590460714,6.4674325000087265
10,100,5,2,-19,12,-23,-18.999089645877117,12.15084868426803,-22.990684426191887,0.32718901590460714,5.92224049998913
10,100,5,2,-19,12,-23,-18.997985808613716,3.2737125943952643,-22.973681242379016,0.3294495038986648,5.907096299983095
10,100,5,2,-19,12,-23,-18.999086403992045,12.163167010323152,-23.01232609827013,0.3273164453748604,5.968383699975675
10,100,5,2,-19,12,-23,-18.995092734984105,4.896001898978262,-23.01249421656213,0.32955477172191755,6.065597600012552
10,100,5,2,-19,12,-23,-18.998132021010726,0.5679066016357925,-23.022741988972136,0.3306019095426943,5.992498500010697
10,100,5,2,-10,-2,14,-9.937350648961706,-2.073070417064677,13.938567503469745,0.30732765175051074,6.188379700004589
10,100,5,2,-10,-2,14,-9.970967328974895,-2.156354730407918,13.884773033344743,0.3067838675252189,7.001214599993546
10,100,5,2,-10,-2,14,-9.973417092125741,-2.1496016552126824,13.887128975106846,0.3067838675252189,5.858285199996317
10,100,5,2,-10,-2,14,-9.963180597470036,-2.1482434587761983,13.889472398580626,0.3067838675252189,5.8773253000108525
